TransactionID,AccountNumber,Date,Time,ZipCustomer,VendorType,Device,Amount,Method,Fraud
06702DCB-75C9-957B-9D4F-D0CC2B84AA23,TN7812217687577456537525,5/10/2021,16:22:53,79508,Fuel,POS,48,Debit,0
CE71B221-5228-F182-8A6A-01DD3A9EE7A8,RS27768594137661783567,5/10/2021,6:22:54,71439,Fuel,POS,37,Debit,0
3DEAC220-22A1-19AE-578F-66A88131155D,CY19163891637052327254631260,5/10/2021,15:01:43,66836,Fuel,POS,43,Credit,0
3EA49E37-9608-4843-142F-C694D7B4646F,CR2312319335562028323,5/10/2021,5:05:53,18841,Fuel,POS,60,Debit,0
DAE45123-A23A-4F6D-CFCA-6A65076166B7,GT46141365701573717713684762,5/10/2021,19:18:18,43846,Fuel,POS,61,Credit,0
B82A34CB-3C7C-8690-3DD3-ACBE43018446,NL67HKKL6066990318,5/10/2021,18:07:24,79802,Fuel,POS,51,Credit,0
B015C6C9-BD15-36E6-B792-72A670C648E4,NL54GRUP1432563220,5/10/2021,18:45:32,67033,Fuel,POS,34,Debit,0
BB365C3A-655D-AFD9-1F93-A140E6663DE0,TR279883675341123601431212,5/10/2021,20:02:52,35277,Fuel,POS,38,Debit,0
38B55C53-F440-A10E-74DA-17F116936C32,NO5317775792577,5/10/2021,15:55:51,52341,Fuel,POS,47,Debit,0
B146797C-BE2B-AA81-ECC6-15225B92F27A,MK46385238843171326,5/10/2021,5:25:44,49411,Fuel,POS,11,Debit,0
E13289BB-B172-EC4E-7818-49E4599CE501,GT45095166152871807922437540,5/10/2021,15:40:12,43866,Fuel,POS,11,Credit,0
E033E795-3C9F-DEC9-C638-4823BF5596E2,CY22326876129318211865157381,5/10/2021,12:49:21,88852,Fuel,POS,8,Debit,0
4DCC567B-4E2C-167C-9562-2F57FC0659AE,KW4655023685412485921524592718,5/10/2021,22:40:36,40825,Fuel,POS,58,Credit,0
2A92A972-518F-EA38-79B7-85855953E7B5,TN7921420165576955139816,5/10/2021,9:59:40,75710,Fuel,POS,45,Credit,0
8D322361-2327-7F94-C0AC-BD5450C822CD,RS92346775431154231878,5/10/2021,10:30:27,47432,Fuel,POS,62,Debit,0
44E5BD34-2E1C-9DC0-B97A-17DF20771D3D,MK79182212441878313,5/10/2021,21:39:45,32297,Fuel,POS,60,Debit,0
9DE3262B-525A-3A41-8C8E-A1C6FB1DA3EA,LT127853948642438131,5/10/2021,15:37:33,33756,Fuel,POS,23,Debit,0
19DBD447-C545-A5BE-E283-51C726A92DEA,SA4797297193519438468125,5/10/2021,8:40:37,84177,Fuel,POS,63,Debit,0
82A0495A-6A5A-D9D2-8C37-B9EBD45524D9,MC0288480333845444836189279,5/10/2021,23:39:33,63616,Fuel,POS,26,Credit,0
DD6EE0C2-0ABE-BB12-8EBF-8ABA49C8C7E2,MD8988463383849483413288,5/10/2021,15:42:48,42972,Fuel,POS,35,Debit,0
E5D274A2-761E-6423-A8D1-D58B7C39D56C,GI81NQBU284145338852847,5/10/2021,19:55:20,88573,Fuel,POS,29,Debit,0
C761114B-C13D-D5F7-B363-AB075E578184,RS08151574541877150287,5/10/2021,11:16:00,31333,Fuel,POS,16,Credit,0
EEFAA95F-61B3-2022-693B-12D396E20EA8,CY93731060121193183654714964,5/10/2021,22:03:12,99541,Fuel,POS,13,Credit,0
F23F12E1-8326-9882-7091-7CC86E2569C8,BE08315419723183,5/10/2021,7:42:53,37270,Fuel,POS,10,Credit,0
